mesh,bs_node,target,vtx_idx,dx,dy,dz
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,3,-0.000146,0.000937,0.00013
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,4,-0.004203,0.008915,0.002431
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,5,-0.044885,0.043621,0.023691
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,6,-0.060034,0.051336,0.001032
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,7,-0.02284,0.042912,-0.044704
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,8,0.017561,0.037672,-0.027416
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,9,-0.090443,0.011329,0.339058
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,10,-0.279167,0.018033,0.447118
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,11,-0.280301,0.040241,0.430765
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,12,-0.023601,0.027876,0.139511
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,13,0.030956,0.011253,0.041163
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,14,-0.004941,0.016023,-0.029048
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,15,0.002653,-0.001768,-0.011236
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,16,0.001184,-0.001596,-0.001468
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,24,-0.000477,0.000656,-1e-06
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,25,-0.058828,0.043231,0.045497
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,26,-0.126205,0.088041,0.092329
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,27,-0.114657,0.074898,0.045216
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,28,-0.034468,0.053889,-0.049825
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,29,0.019188,0.042879,-0.025991
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,30,-0.137907,-0.022164,0.253306
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,31,-0.108939,-0.016077,0.109448
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,32,-0.200992,0.013776,0.299907
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,33,-0.135973,0.080871,0.219341
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,34,-0.058002,0.081154,0.135047
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,35,-0.001225,0.015597,-0.022367
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,36,0.001089,0.00257,-0.005474
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,37,0.000218,4e-05,-0.000253
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,44,-4e-06,3e-06,3e-06
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,45,-0.010024,0.005097,0.007055
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,46,-0.118661,0.074766,0.092433
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,47,-0.183963,0.103206,0.142556
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,48,-0.146837,0.055701,0.084326
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,49,-0.050648,0.04153,-0.031073
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,50,0.017661,0.044379,-0.022865
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,51,-0.009733,0.002423,0.013137
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,52,-0.016132,-0.013461,0.158453
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,53,-0.217117,0.049205,0.410039
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,54,-0.174043,0.094646,0.222266
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,55,-0.135043,0.138328,0.128442
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,56,0.006511,0.017581,-0.021089
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,57,0.001682,0.004156,-0.003728
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,66,-0.000446,0.00029,0.000273
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,67,-0.049516,0.031482,0.030636
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,68,-0.155778,0.09687,0.101592
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,69,-0.143224,0.062421,0.093068
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,70,-0.083891,0.003706,0.057862
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,71,0.0396,-0.009755,0.026006
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,72,0.053354,0.03368,0.008068
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,73,0.03909,0.035572,-0.004666
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,74,0.036869,0.039544,-0.003848
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,75,-0.006997,0.069671,-0.033223
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,76,-0.020235,0.066043,-0.005067
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,77,0.01265,0.025243,-0.006438
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,78,0.003078,0.004158,-0.00183
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,87,-0.001548,0.001022,0.000929
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,88,-0.050384,0.032087,0.029671
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,89,-0.082503,0.046042,0.050313
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,90,-0.060195,0.018464,0.039948
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,91,-0.006076,-0.007467,0.022899
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,92,0.036089,0.010711,0.021764
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,93,0.050659,0.037024,0.018729
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,94,0.052217,0.049974,0.01395
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,95,0.043876,0.052986,0.010211
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,96,0.022177,0.033837,0.004032
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,97,0.008483,0.014532,-0.003422
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,98,0.002279,0.002553,-0.000989
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,112,3e-06,0.0,-1e-06
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,173,-0.000153,0.0001,8.8e-05
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,174,-0.002489,0.001515,0.001297
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,175,-0.003689,0.001919,0.001539
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,176,0.000463,-0.000352,0.000256
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,177,0.003324,0.004555,0.003173
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,178,0.007515,0.01504,0.006715
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,179,0.011031,0.024725,0.006163
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,180,0.010924,0.025508,0.001526
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,181,0.007883,0.014483,-0.002054
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,182,0.005102,0.005963,-0.00207
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,183,0.000819,0.000915,-0.00033
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,218,0.000476,0.000519,-0.00019
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,219,0.002058,0.002314,-0.000788
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,220,0.00369,0.004531,-0.001304
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,221,0.004741,0.006079,-0.001675
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,222,0.004553,0.005483,-0.001726
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,223,0.002684,0.002983,-0.00106
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,224,0.000558,0.000618,-0.00022
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,348,-2.4e-05,1.6e-05,1.7e-05
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,349,-0.011984,0.007902,0.008117
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,350,-0.117669,0.079233,0.086632
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,351,-0.208729,0.136965,0.161295
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,352,-0.164827,0.081665,0.121222
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,353,-0.076775,0.033253,0.017011
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,354,0.014004,0.019219,-0.0171
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,355,0.019012,0.021787,-0.004811
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,356,-0.003818,-0.011154,0.104725
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,357,-0.126323,0.031651,0.343558
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,358,-0.122644,0.068562,0.219504
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,359,-0.099907,0.073677,0.116511
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,360,0.009213,0.019867,-0.019461
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,361,0.002903,0.005082,-0.003581
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,391,0.009782,0.043732,0.070995
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,392,0.003506,0.007584,0.009209
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,397,0.0,3e-06,2e-06
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,398,7.6e-05,0.000988,0.000854
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,400,0.008593,0.051873,0.146194
THAIZ_BODY_PLY,C_facial_local_BLS,l_out_mouth_bls,401,0.01179,0.060454,0.160941
