mesh,bs_node,target,vtx_idx,dx,dy,dz
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,2,0.001968,0.000814,-0.000228
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,3,0.0147,0.005592,-0.001924
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,4,0.040045,0.013574,-0.00595
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,5,0.07363,0.022107,-0.012638
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,6,0.11545,0.036088,-0.0215
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,7,0.212963,0.083775,-0.056421
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,8,0.422257,-0.131366,-0.231834
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,9,0.232591,-0.144068,-0.101187
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,10,0.084632,-0.103017,-0.011766
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,11,0.03174,-0.02872,0.000976
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,12,0.29407,0.008655,-0.086709
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,13,0.40912,0.120634,-0.089997
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,14,0.123041,0.034889,-0.018625
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,15,0.060209,0.015917,-0.009681
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,16,0.022987,0.007306,-0.003123
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,17,0.003614,0.001318,-0.000419
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,24,0.007766,0.003009,-0.001003
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,25,0.02973,0.010364,-0.004356
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,26,0.063828,0.028665,-0.011507
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,27,0.106034,0.060909,-0.026267
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,28,0.132632,0.070483,-0.028549
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,29,0.146047,0.059285,-0.010634
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,30,0.133879,0.059586,0.054152
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,31,0.056775,0.099995,0.144785
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,32,-0.012952,0.165183,0.163484
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,33,0.103451,0.160529,0.065754
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,34,0.223291,0.138411,-0.019507
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,35,0.112379,0.048642,-0.012651
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,36,0.055762,0.016074,-0.008652
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,37,0.016826,0.00554,-0.002256
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,38,0.000466,0.000174,-5.3e-05
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,39,1e-06,0.0,-0.0
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,45,0.001418,0.000597,-0.000172
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,46,0.016539,0.013617,-0.002391
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,47,0.056876,0.071246,-0.01102
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,48,0.101025,0.109407,-0.022442
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,49,0.114851,0.094727,-0.021448
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,50,0.111823,0.093416,0.004717
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,51,0.118596,0.105312,0.064641
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,52,0.079342,0.137595,0.149347
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,53,0.012182,0.184938,0.177113
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,54,0.038575,0.192826,0.100013
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,55,0.090289,0.161084,0.03545
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,56,0.08506,0.065291,-0.003613
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,57,0.040864,0.016876,-0.005154
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,58,0.009453,0.003678,-0.00115
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,59,0.000337,0.000143,-3.5e-05
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,60,6e-06,3e-06,-0.0
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,65,3e-05,2e-05,-1e-06
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,66,0.004705,0.003087,-0.000206
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,67,0.022528,0.015422,0.000334
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,68,0.048136,0.038364,0.005487
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,69,0.074083,0.06003,0.002055
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,70,0.085235,0.079851,-0.010319
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,71,0.101065,0.086879,-0.011423
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,72,0.11323,0.083931,-0.005177
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,73,0.10853,0.076381,0.010532
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,74,0.095512,0.076704,0.021115
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,75,0.071075,0.075386,0.015563
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,76,0.044611,0.055502,0.007979
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,77,0.022095,0.024486,0.001841
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,78,0.007901,0.007271,0.00024
