mesh,bs_node,target,w_idx,driver,curve_name,curve_type,pre_inf,post_inf
THAIZ_BODY_PLY,L_facial_local_BLS,l_up_mouth_bls,1,L_lipCorner_CTL.translateY,C_facial_local_BLS_l_up_mouth_bls,animCurveUU,constant,constant
THAIZ_BODY_PLY,L_facial_local_BLS,l_down_mouth_bls,2,L_lipCorner_CTL.translateY,C_facial_local_BLS_l_down_mouth_bls,animCurveUU,constant,constant
THAIZ_BODY_PLY,L_facial_local_BLS,l_in_mouth_bls,3,L_lipCorner_CTL.translateX,C_facial_local_BLS_l_in_mouth_bls,animCurveUU,constant,constant
THAIZ_BODY_PLY,L_facial_local_BLS,L_body_correctivess_bls,4,,,,,
THAIZ_BODY_PLY,L_facial_local_BLS,C_closed_jaw_bls,5,L_facial_local_BLS.C_closed_jaw_bls,C_jaw_OFF_translateY,animCurveUL,constant,constant
THAIZ_BODY_PLY_localMouth,L_facial_local_BLS,l_up_mouth_bls,1,L_lipCorner_CTL.translateY,C_facial_local_BLS_l_up_mouth_bls,animCurveUU,constant,constant
THAIZ_BODY_PLY_localMouth,L_facial_local_BLS,l_down_mouth_bls,2,L_lipCorner_CTL.translateY,C_facial_local_BLS_l_down_mouth_bls,animCurveUU,constant,constant
THAIZ_BODY_PLY_localMouth,L_facial_local_BLS,l_in_mouth_bls,3,L_lipCorner_CTL.translateX,C_facial_local_BLS_l_in_mouth_bls,animCurveUU,constant,constant
THAIZ_BODY_PLY_localMouth,L_facial_local_BLS,L_body_correctivess_bls,4,,,,,
THAIZ_BODY_PLY_localMouth,L_facial_local_BLS,C_closed_jaw_bls,5,L_facial_local_BLS.C_closed_jaw_bls,C_jaw_OFF_translateY,animCurveUL,constant,constant
