mesh,bs_node,target,key_idx,t,v,it,ot,ia,oa,iw,ow
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,0,-0.0,0.0,auto,auto,0.0,0.0,1.0,1.0
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,1,5.0,1.0,auto,auto,0.0,0.0,1.0,1.0
THAIZ_BODY_PLY,L_facial_local_BLS,L_up_mouth_bls,0,0.0,0.0,auto,auto,0.0,0.0,1.0,1.0
THAIZ_BODY_PLY,L_facial_local_BLS,L_up_mouth_bls,1,2.0,1.0,auto,auto,0.0,0.0,1.0,1.0
THAIZ_BODY_PLY,L_facial_local_BLS,L_down_mouth_bls,0,-2.0,1.0,auto,auto,0.0,0.0,1.0,1.0
THAIZ_BODY_PLY,L_facial_local_BLS,L_down_mouth_bls,1,0.0,0.0,auto,auto,0.0,0.0,1.0,1.0
THAIZ_BODY_PLY,L_facial_local_BLS,L_in_mouth_bls,0,-2.5,1.0,auto,auto,0.0,0.0,1.0,1.0
THAIZ_BODY_PLY,L_facial_local_BLS,L_in_mouth_bls,1,0.0,0.0,auto,auto,0.0,0.0,1.0,1.0
THAIZ_BODY_PLY,R_facial_local_BLS,R_out_mouth_bls,0,-5.0,1.0,auto,auto,0.0,0.0,1.0,1.0
THAIZ_BODY_PLY,R_facial_local_BLS,R_out_mouth_bls,1,0.0,0.0,auto,auto,0.0,0.0,1.0,1.0
THAIZ_BODY_PLY,R_facial_local_BLS,R_up_mouth_bls,0,0.0,0.0,auto,auto,0.0,0.0,1.0,1.0
THAIZ_BODY_PLY,R_facial_local_BLS,R_up_mouth_bls,1,2.0,1.0,auto,auto,0.0,0.0,1.0,1.0
THAIZ_BODY_PLY,R_facial_local_BLS,R_down_mouth_bls,0,-2.0,1.0,auto,auto,0.0,0.0,1.0,1.0
THAIZ_BODY_PLY,R_facial_local_BLS,R_down_mouth_bls,1,0.0,0.0,auto,auto,0.0,0.0,1.0,1.0
THAIZ_BODY_PLY,R_facial_local_BLS,R_in_mouth_bls,0,-0.0,0.0,auto,auto,0.0,0.0,1.0,1.0
THAIZ_BODY_PLY,R_facial_local_BLS,R_in_mouth_bls,1,2.5,1.0,auto,auto,0.0,0.0,1.0,1.0
THAIZ_BODY_PLY_localMouth,L_facial_local_BLS,L_out_mouth_bls,0,-0.0,0.0,auto,auto,0.0,0.0,1.0,1.0
THAIZ_BODY_PLY_localMouth,L_facial_local_BLS,L_out_mouth_bls,1,5.0,1.0,auto,auto,0.0,0.0,1.0,1.0
THAIZ_BODY_PLY_localMouth,L_facial_local_BLS,L_up_mouth_bls,0,0.0,0.0,auto,auto,0.0,0.0,1.0,1.0
THAIZ_BODY_PLY_localMouth,L_facial_local_BLS,L_up_mouth_bls,1,2.0,1.0,auto,auto,0.0,0.0,1.0,1.0
THAIZ_BODY_PLY_localMouth,L_facial_local_BLS,L_down_mouth_bls,0,-2.0,1.0,auto,auto,0.0,0.0,1.0,1.0
THAIZ_BODY_PLY_localMouth,L_facial_local_BLS,L_down_mouth_bls,1,0.0,0.0,auto,auto,0.0,0.0,1.0,1.0
THAIZ_BODY_PLY_localMouth,L_facial_local_BLS,L_in_mouth_bls,0,-2.5,1.0,auto,auto,0.0,0.0,1.0,1.0
THAIZ_BODY_PLY_localMouth,L_facial_local_BLS,L_in_mouth_bls,1,0.0,0.0,auto,auto,0.0,0.0,1.0,1.0
THAIZ_BODY_PLY_localMouth,R_facial_local_BLS,R_out_mouth_bls,0,-5.0,1.0,auto,auto,0.0,0.0,1.0,1.0
THAIZ_BODY_PLY_localMouth,R_facial_local_BLS,R_out_mouth_bls,1,0.0,0.0,auto,auto,0.0,0.0,1.0,1.0
THAIZ_BODY_PLY_localMouth,R_facial_local_BLS,R_up_mouth_bls,0,0.0,0.0,auto,auto,0.0,0.0,1.0,1.0
THAIZ_BODY_PLY_localMouth,R_facial_local_BLS,R_up_mouth_bls,1,2.0,1.0,auto,auto,0.0,0.0,1.0,1.0
THAIZ_BODY_PLY_localMouth,R_facial_local_BLS,R_down_mouth_bls,0,-2.0,1.0,auto,auto,0.0,0.0,1.0,1.0
THAIZ_BODY_PLY_localMouth,R_facial_local_BLS,R_down_mouth_bls,1,0.0,0.0,auto,auto,0.0,0.0,1.0,1.0
THAIZ_BODY_PLY_localMouth,R_facial_local_BLS,R_in_mouth_bls,0,-0.0,0.0,auto,auto,0.0,0.0,1.0,1.0
THAIZ_BODY_PLY_localMouth,R_facial_local_BLS,R_in_mouth_bls,1,2.5,1.0,auto,auto,0.0,0.0,1.0,1.0
