mesh,bs_node,target,vtx_idx,dx,dy,dz
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,473,-0.045176,0.039338,0.034735
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,474,0.064023,-0.095355,0.085397
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,475,0.057607,-0.129651,0.095554
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,476,0.015475,-0.094178,0.077882
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,477,-0.009513,0.025837,0.019777
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,478,0.045781,0.018552,0.058169
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,479,0.094322,0.039991,0.008768
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,480,-0.010644,0.123003,-0.064449
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,481,-0.044438,0.098089,0.066696
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,482,-0.021808,0.052641,-0.087342
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,483,-0.017719,0.081815,-0.084703
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,484,0.003096,-0.004657,0.001581
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,485,-0.000121,9.7e-05,-6.1e-05
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,486,0.018318,0.097112,0.043475
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,491,0.072959,0.050304,0.053025
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,495,0.010288,0.010214,0.005471
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,496,-0.098137,0.081278,0.064566
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,497,-0.107091,0.05781,0.164494
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,498,-0.177478,-0.007774,0.208443
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,499,-0.196027,-0.120691,0.173956
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,500,-0.089892,-0.178772,0.081427
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,510,-0.003433,-0.191538,0.095354
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,511,-0.042465,-0.076686,0.13831
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,512,-0.002694,0.04776,0.075431
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,515,0.000685,0.000285,-3e-05
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,516,0.004058,0.003403,0.007692
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,525,-0.514723,-0.035884,0.197858
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,526,-0.482271,0.072136,0.280561
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,527,-0.341017,-0.062753,0.240999
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,528,-0.015462,-0.039039,0.003158
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,529,-0.182238,0.09552,0.118835
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,530,0.028338,0.031085,0.067551
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,531,0.012958,0.005056,-0.007772
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,532,-0.002532,0.019937,0.013615
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,533,0.006152,0.037931,0.058399
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,534,0.006955,0.000978,-0.002267
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,535,0.001532,0.000893,6.4e-05
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,536,0.012112,0.002711,0.004627
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,537,0.013648,-0.015512,0.011654
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,538,0.009795,-0.04395,0.026047
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,539,0.016121,0.00084,0.016169
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,540,-0.005739,-0.04039,0.083067
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,541,0.165577,0.039606,0.104926
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,542,-0.021202,-0.057405,0.071348
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,543,-0.160339,0.114214,0.091681
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,544,-0.00027,-0.005226,0.003984
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,545,0.0486,-0.034836,0.075737
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,546,0.041245,0.037713,0.055328
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,547,-0.002581,0.001936,0.002288
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,548,-0.000306,0.000248,0.00034
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,550,-0.287704,-0.1404,0.12378
