mesh,bs_node,target,vtx_idx,dx,dy,dz
THAIZ_BODY_PLY_localMouth,C_facial_local_BLS,l_out_mouth_bls,0,-9.5e-05,0.00022,5.8e-05
THAIZ_BODY_PLY_localMouth,C_facial_local_BLS,l_out_mouth_bls,1,-0.000598,0.002185,0.000623
THAIZ_BODY_PLY_localMouth,C_facial_local_BLS,l_out_mouth_bls,14,0.013952,-0.014953,-0.027891
THAIZ_BODY_PLY_localMouth,C_facial_local_BLS,l_out_mouth_bls,15,0.000825,-0.001237,-0.002752
THAIZ_BODY_PLY_localMouth,C_facial_local_BLS,l_out_mouth_bls,17,-1e-06,-8e-06,3e-06
THAIZ_BODY_PLY_localMouth,C_facial_local_BLS,l_out_mouth_bls,18,-7.8e-05,-0.000405,0.000283
THAIZ_BODY_PLY_localMouth,C_facial_local_BLS,l_out_mouth_bls,19,-0.0,0.0,1e-06
THAIZ_BODY_PLY_localMouth,C_facial_local_BLS,l_out_mouth_bls,21,0.001364,-4.5e-05,-0.0006
THAIZ_BODY_PLY_localMouth,C_facial_local_BLS,l_out_mouth_bls,35,-0.010159,-0.002903,-0.001204
THAIZ_BODY_PLY_localMouth,C_facial_local_BLS,l_out_mouth_bls,36,-0.002162,-0.000383,-0.000699
THAIZ_BODY_PLY_localMouth,C_facial_local_BLS,l_out_mouth_bls,37,-0.000106,-0.000367,0.000266
THAIZ_BODY_PLY_localMouth,C_facial_local_BLS,l_out_mouth_bls,38,-0.002166,-0.011865,0.008253
THAIZ_BODY_PLY_localMouth,C_facial_local_BLS,l_out_mouth_bls,39,-0.006576,-0.033975,0.023521
THAIZ_BODY_PLY_localMouth,C_facial_local_BLS,l_out_mouth_bls,40,-0.004917,-0.02399,0.016509
THAIZ_BODY_PLY_localMouth,C_facial_local_BLS,l_out_mouth_bls,41,-0.001762,-0.008051,0.005498
THAIZ_BODY_PLY_localMouth,C_facial_local_BLS,l_out_mouth_bls,42,0.002819,-0.003127,-0.001476
THAIZ_BODY_PLY_localMouth,C_facial_local_BLS,l_out_mouth_bls,56,-0.026562,-0.013214,0.020221
THAIZ_BODY_PLY_localMouth,C_facial_local_BLS,l_out_mouth_bls,57,-0.009359,-0.000798,0.004881
THAIZ_BODY_PLY_localMouth,C_facial_local_BLS,l_out_mouth_bls,58,-0.002239,-0.002716,0.002934
THAIZ_BODY_PLY_localMouth,C_facial_local_BLS,l_out_mouth_bls,59,-0.002743,-0.014403,0.010035
THAIZ_BODY_PLY_localMouth,C_facial_local_BLS,l_out_mouth_bls,60,-0.013236,-0.065886,0.045282
THAIZ_BODY_PLY_localMouth,C_facial_local_BLS,l_out_mouth_bls,61,-0.014796,-0.070322,0.048101
THAIZ_BODY_PLY_localMouth,C_facial_local_BLS,l_out_mouth_bls,62,-0.009398,-0.042302,0.028744
THAIZ_BODY_PLY_localMouth,C_facial_local_BLS,l_out_mouth_bls,63,6e-05,-0.00125,-0.00178
THAIZ_BODY_PLY_localMouth,C_facial_local_BLS,l_out_mouth_bls,77,-0.008408,-0.005176,0.034685
THAIZ_BODY_PLY_localMouth,C_facial_local_BLS,l_out_mouth_bls,78,-0.005826,-0.002259,0.012796
THAIZ_BODY_PLY_localMouth,C_facial_local_BLS,l_out_mouth_bls,79,-0.002786,0.001152,0.002226
THAIZ_BODY_PLY_localMouth,C_facial_local_BLS,l_out_mouth_bls,80,-0.000938,-0.00155,0.001635
THAIZ_BODY_PLY_localMouth,C_facial_local_BLS,l_out_mouth_bls,81,-0.000932,-0.004111,0.002782
THAIZ_BODY_PLY_localMouth,C_facial_local_BLS,l_out_mouth_bls,82,-0.002579,-0.010527,0.006864
THAIZ_BODY_PLY_localMouth,C_facial_local_BLS,l_out_mouth_bls,83,-0.001618,-0.006467,0.004197
THAIZ_BODY_PLY_localMouth,C_facial_local_BLS,l_out_mouth_bls,84,0.000284,-0.00083,-0.000778
THAIZ_BODY_PLY_localMouth,C_facial_local_BLS,l_out_mouth_bls,97,-0.004913,0.003079,-0.002232
THAIZ_BODY_PLY_localMouth,C_facial_local_BLS,l_out_mouth_bls,98,-0.002907,-0.001501,0.003729
THAIZ_BODY_PLY_localMouth,C_facial_local_BLS,l_out_mouth_bls,99,-0.001339,0.000628,0.000547
THAIZ_BODY_PLY_localMouth,C_facial_local_BLS,l_out_mouth_bls,100,-0.00035,8e-06,0.000176
THAIZ_BODY_PLY_localMouth,C_facial_local_BLS,l_out_mouth_bls,101,-4.9e-05,-0.00016,0.000113
