mesh,bs_node,target,w_idx,driver,curve_name,curve_type,pre_inf,post_inf
THAIZ_BODY_PLY,L_facial_local_BLS,L_out_mouth_bls,0,L_lipCorner_CTL.translateX,C_facial_local_BLS_l_narrow_mouth_bls,animCurveUU,constant,constant
THAIZ_BODY_PLY,L_facial_local_BLS,L_up_mouth_bls,1,L_lipCorner_CTL.translateY,C_facial_local_BLS_l_up_mouth_bls,animCurveUU,constant,constant
THAIZ_BODY_PLY,L_facial_local_BLS,L_down_mouth_bls,2,L_lipCorner_CTL.translateY,C_facial_local_BLS_l_down_mouth_bls,animCurveUU,constant,constant
THAIZ_BODY_PLY,L_facial_local_BLS,L_in_mouth_bls,3,L_lipCorner_CTL.translateX,C_facial_local_BLS_l_in_mouth_bls,animCurveUU,constant,constant
THAIZ_BODY_PLY,L_facial_local_BLS,THAIZ_BODY_PLY_corrective_body,4,,,,,
THAIZ_BODY_PLY,R_facial_local_BLS,R_out_mouth_bls,0,R_lipCorner_CTL.translateX,C_facial_local_BLS_r_narrow_mouth_bls,animCurveUU,constant,constant
THAIZ_BODY_PLY,R_facial_local_BLS,R_up_mouth_bls,1,R_lipCorner_CTL.translateY,C_facial_local_BLS_r_up_mouth_bls,animCurveUU,constant,constant
THAIZ_BODY_PLY,R_facial_local_BLS,R_down_mouth_bls,2,R_lipCorner_CTL.translateY,C_facial_local_BLS_r_down_mouth_bls,animCurveUU,constant,constant
THAIZ_BODY_PLY,R_facial_local_BLS,R_in_mouth_bls,3,R_lipCorner_CTL.translateX,C_facial_local_BLS_r_in_mouth_bls,animCurveUU,constant,constant
THAIZ_BODY_PLY,R_facial_local_BLS,THAIZ_BODY_PLY_corrective_body,4,,,,,
THAIZ_BODY_PLY_localMouth,L_facial_local_BLS,L_out_mouth_bls,0,L_lipCorner_CTL.translateX,C_facial_local_BLS_l_narrow_mouth_bls,animCurveUU,constant,constant
THAIZ_BODY_PLY_localMouth,L_facial_local_BLS,L_up_mouth_bls,1,L_lipCorner_CTL.translateY,C_facial_local_BLS_l_up_mouth_bls,animCurveUU,constant,constant
THAIZ_BODY_PLY_localMouth,L_facial_local_BLS,L_down_mouth_bls,2,L_lipCorner_CTL.translateY,C_facial_local_BLS_l_down_mouth_bls,animCurveUU,constant,constant
THAIZ_BODY_PLY_localMouth,L_facial_local_BLS,L_in_mouth_bls,3,L_lipCorner_CTL.translateX,C_facial_local_BLS_l_in_mouth_bls,animCurveUU,constant,constant
THAIZ_BODY_PLY_localMouth,L_facial_local_BLS,THAIZ_BODY_PLY_corrective_body,4,,,,,
THAIZ_BODY_PLY_localMouth,R_facial_local_BLS,R_out_mouth_bls,0,R_lipCorner_CTL.translateX,C_facial_local_BLS_r_narrow_mouth_bls,animCurveUU,constant,constant
THAIZ_BODY_PLY_localMouth,R_facial_local_BLS,R_up_mouth_bls,1,R_lipCorner_CTL.translateY,C_facial_local_BLS_r_up_mouth_bls,animCurveUU,constant,constant
THAIZ_BODY_PLY_localMouth,R_facial_local_BLS,R_down_mouth_bls,2,R_lipCorner_CTL.translateY,C_facial_local_BLS_r_down_mouth_bls,animCurveUU,constant,constant
THAIZ_BODY_PLY_localMouth,R_facial_local_BLS,R_in_mouth_bls,3,R_lipCorner_CTL.translateX,C_facial_local_BLS_r_in_mouth_bls,animCurveUU,constant,constant
THAIZ_BODY_PLY_localMouth,R_facial_local_BLS,THAIZ_BODY_PLY_corrective_body,4,,,,,
